Entry_id,Title,Description,Published Date,Location,URL
h1457776,Erhvervskonsulent,Vi har travlt hos Svane Køkkenet i Svendborg og derfor søger vi en erfaren og engageret erhvervskonsulent med fokus på salg til håndværkere,2024-04-05,unknown,https://www.jobindex.dk/vis-job/h1457776
h1457774,Salgsassistent til kolonialafdelingen søges til MENY Rødovre,Brænder du for kvalitet og god kundeservice  og vil du være med til at skabe rammerne for byens bedste madmarked Så er det måske dig vi søger,2024-04-05,Rødovre,https://www.jobindex.dk/vis-job/h1457774
h1457770,Rådgiversælger til vore fantastiske kunder  3237 timeruge,,2024-04-05,Holbæk,https://www.jobindex.dk/vis-job/h1457770
h1457768,Commercial Insight Specialist,Do you want to accelerate your career in an international food company Do you have a solid analytical mindset and thrive in a datadriven environment,2024-04-05,Randers SV,https://www.jobindex.dk/vis-job/h1457768
h1457767,Systemkonsulent  få en varieret hverdag og professionelle kolleger,Vil du være en del af et team der står sammen om at finde den perfekte ITløsning,2024-04-05,Hørsholm,https://www.jobindex.dk/vis-job/h1457767
h1457765,Planlægger 1520 timerugen,Har du erfaring med opgaver inden for planlægning og kendskab til fødevarebranchen,2024-04-05,Aalborg Øst,https://www.jobindex.dk/vis-job/h1457765
h1457764,Skattestyrelsen i Ringkøbing søger profil til udvikling analyse og formidling af ledelsesinformation via business intelligence,Brænder du for at arbejde med data og ledelsesinformation Har du en god tal og systemforståelse og solide formidlingsevner,2024-04-05,Ringkøbing,https://www.jobindex.dk/vis-job/h1457764
h1457763,Projektchef til FOCUS Moduler,Motiveres du af en rolle hvor du både skal bringe dine lederegenskaber dine evner inden for projektledelse og din driftsøkonomiske forståelse i spil Og vil du stå i spidsen for udvikling af en projektafdeling hos en anerkendt virksomhed inden for pavilloner og modulleverancer,2024-04-05,Randers SØ,https://www.jobindex.dk/vis-job/h1457763
h1457762,ITdriftsmedarbejder til Driftsfællesskab,Brænder du for at arbejde med avancerede ITsystemer og bidrage til stabil drift og udvikling af vores online ITinfrastruktur Er du en erfaren specialist i at administrere Exchange Online og Azure hybrid miljø,2024-04-05,Viby J,https://www.jobindex.dk/vis-job/h1457762
h1457757,Kontorassistent til RSM København,Har du lyst til et spændende og udfordrende arbejde Er du serviceminded og god til at håndtere forskelligartede opgaver,2024-04-05,København V,https://www.jobindex.dk/vis-job/h1457757
h1457756,ØkonomiassistentFinance Assistant,Vi søger en frisk økonomiassistent til en deltidsstilling i vores økonomiafdeling,2024-04-05,Horsens,https://www.jobindex.dk/vis-job/h1457756
h1457755,Hustekniker  37 timer  Køge,Vil du være med til at sikre at de rette varer bliver leveret til vores butikker Så er du måske vores nye lagermedarbejder,2024-04-05,Køge,https://www.jobindex.dk/vis-job/h1457755
h1457754,Sagskoordinator,Din primære opgave vil være backoffice funktion for ejendomsmæglerne så salget foregår så optimalt og nemt som muligt for både sælger og mægler,2024-04-05,Vissenbjerg,https://www.jobindex.dk/vis-job/h1457754
h1457752,Maintenance Manager til fødevareproduktion,Du skal i tæt samarbejde med dit teknikerteam sikre at vores produktionsapparat kører optimalt,2024-04-05,Rynkeby,https://www.jobindex.dk/vis-job/h1457752
h1457749,Digitaliseringskonsulenter til Aarhus og Randers,Har du helt styr på regnskab flair for det digitale og et bredt smil,2024-04-05,unknown,https://www.jobindex.dk/vis-job/h1457749
h1457747,Økonomielever,Uddannelsen som økonomielev er til dig der drømmer om at kombinere teori fra skolebænken med relevant erhvervserfaring ,2024-04-05,Hinnerup,https://www.jobindex.dk/vis-job/h1457747
h1457745,Kontorelev med flair for tal administration og service,Drømmer du om en spændende og alsidig elevtid i et dynamisk sportsmiljø,2024-04-05,København SV,https://www.jobindex.dk/vis-job/h1457745
h1457744,Speditørelever,Når du tager en uddannelse som speditørelev kommer du til at arbejde med kerneforretningen i Frode Laursen  nemlig vores transporter ,2024-04-05,Hinnerup,https://www.jobindex.dk/vis-job/h1457744
h1457743,Administrationselever,Når du tager en uddannelse som administrationselev hos os bliver du en fast del af en af vores afdelinger hvor du vil have din daglige gang i 2 år når du ikke er i skole ,2024-04-05,Hinnerup,https://www.jobindex.dk/vis-job/h1457743
h1457741,Skattestyrelsen i Ringkøbing søger projektleder,Bliver du motiveret af at analysere udvikle og drive aktiviteter og projekter i mål Trives du i dialog og samarbejde med flere interessenter er du resultatorienteret og ser optimeringsmuligheder i driften,2024-04-05,Ringkøbing,https://www.jobindex.dk/vis-job/h1457741
h1457738,Varmemester til HøjeTaastrup,Du får det personaleledelsesmæssige ansvar i afdelingerne og er delvist ansvarlig for administrativt arbejde herunder økonomi,2024-04-05,Taastrup,https://www.jobindex.dk/vis-job/h1457738
h1457736,Vil du være specialpsykolog hos Aleris PP,Har du lyst til at blive endnu dygtigere til det psykologiske og psykiatriske arbejde i samarbejde med andre psykologer og psykiatere og vil du gerne arbejde med psykiatri uden for psykiatrien Er du specialpsykolog eller erfaren psykolog med speciale inden for børne og ungeområdet eller lignende,2024-04-05,Gentofte,https://www.jobindex.dk/vis-job/h1457736
h1457735,Er du Aleris PPs nye speciallæge i børne og ungdomspsykiatri i Gentofte,Vi leder efter dig som har lyst til at bidrage til og være en del af et stærkt tværfagligt børne og ungdomsteam og vil være med til at gøre en forskel for børn og unge der oplever et stort udrednings og behandlingsbehov,2024-04-05,unknown,https://www.jobindex.dk/vis-job/h1457735
h1457733,Er du vores nye OBUUddannelsesleder,Vores OBUUddannelsesleder på Hf og VUC RoskildeKøge brænder for de ordblinde har ider og kan se muligheder i at udvikle og tilpasse vores tilbud med dt mål for øje at hjælpe målgruppen de steder i livet hvor ordblindhed danner barrierer,2024-04-05,Roskilde,https://www.jobindex.dk/vis-job/h1457733
h1457731,Maintenance Technician  Aftenhold,Interesserer du dig for automation og robotter Kunne du tænke dig at arbejde i en af Danmarks mest innovative og højteknologiske produktionsvirksomheder,2024-04-05,Skanderborg,https://www.jobindex.dk/vis-job/h1457731
h1457730,Operator,Kan du lide en dag med mange forskellige opgaver og en høj grad af selvbestemmelse og ansvar i en GMPstyret produktion Har du lyst til at arbejde i et aseptisk miljø og være en del af et dedikeret team der producerer vacciner,2024-04-05,Kvistgård,https://www.jobindex.dk/vis-job/h1457730
h1457729,Full stackudvikler i et automatiseret DevOpsmiljø,Har du lyst til at være med til at modernisere momsområdet Har du lyst til at levere moderne enkle og sikre itløsninger til fremtidens digitale skatteforvaltning,2024-04-05,Frederiksberg,https://www.jobindex.dk/vis-job/h1457729
h1457728,Janitor Technician,Vil du være med til at sørge for at vores arbejdsplads vedligeholdes og have din dagligdag blandt kollegaer der værdsætter din indsats med udførelse af installationer og reparationer,2024-04-05,Skanderborg,https://www.jobindex.dk/vis-job/h1457728
h1457726,Compliance Assistant Operations,I din nye stilling er du med til at sikre at vi overholder alle nationale samt internationale eksportkontrollove og reguleringer og dermed sikrer vores adgang til det globale marked Herudover arbejder teamet med forskelligartede complianceopgaver blandt andet ISOstandarder GDPR og Risk Management,2024-04-05,Svendborg,https://www.jobindex.dk/vis-job/h1457726
h1457717,Fabriksleder til Unicons fabrikker i Herfølge Hillerød og Frederikssund,Vil du være en del af en markedsledende virksomhed med fokus på høj kvalitet og brænder du for at sikre kontinuerlig udvikling og optimering af produktionsaktiviteterne på en dynamisk arbejdsplads ,2024-04-05,"Herfølge, Hillerød og Frederikssund",https://www.jobindex.dk/vis-job/h1457717
h1457716,Senior Financial Controller,Geia Food er på en spændende udviklingsrejse hvor man ser ind i en ambitiøs vækst i løbet af de kommende år baseret på både organisk vækst og opkøb ,2024-04-05,Aalborg,https://www.jobindex.dk/vis-job/h1457716
h1457714,Praktikant til HR på Den Sorte Diamant,Er du psykologistuderende med lyst til at prøve kræfter med spændende udviklingsopgaver inden for HR på højt fagligt niveau Så er denne praktikmulighed lige noget for dig,2024-04-05,København K,https://www.jobindex.dk/vis-job/h1457714
h1457713,Bogholder til Aarhus og Randers,,2024-04-05,unknown,https://www.jobindex.dk/vis-job/h1457713
h1457710,Assisting Product Manager,Til vores Product Management Team har vi brug for en vedholdende og insisterende personlighed der formår at stille spørgsmål og arbejde aktivt med problemstillinger som ikke nødvendigvis har en løsning lige for,2024-04-05,Hasselager,https://www.jobindex.dk/vis-job/h1457710
h1457708,Sej og selvstændig medarbejder til Greenify Planteservice,Vil du være en del af en grøn virksomhed i rivende udvikling Er du en ægte plantenørd med et stort gåpåmod og drive Så er du måske den vi leder efter,2024-04-05,København S,https://www.jobindex.dk/vis-job/h1457708
h1457707,Teknisk tester til kontoret Erhvervsindberetningssystemer,Vil du være med til at sikre kvaliteten af itsystemer som afhjælper indberetning udveksling og kontrol Er du dygtig til at kode og synes du det kunne være spændende at indgå i en moderne TestOpsDevOpssammenhæng,2024-04-05,Frederiksberg,https://www.jobindex.dk/vis-job/h1457707
h1457706,Bilrådgiver,Har du erfaring med bilsalg Så er her muligheden for et utrolig spændende job hvor 2 dage ikke er ens,2024-04-05,Odense V,https://www.jobindex.dk/vis-job/h1457706
h1457704,Recruitment Officer Based in Germany,EUMETSAT is an international organisation employing staff from across all 30 member states and this role is being advertised on multiple international job boards but please note that this role would be based in Darmstadt Germany and would require international applicants to relocate if successful,2024-04-05,Darmstadt,https://www.jobindex.dk/vis-job/h1457704
h1457700,Servicemedarbejder til StenløseØlstykke Boligforening,Er du handlekraftig og serviceminded Sætter du en ære i at være tilgængelig for beboerne og forstå dem Er du imødekommende hjælpsom og nærværende ,2024-04-05,unknown,https://www.jobindex.dk/vis-job/h1457700
h1457699,Analytisk blæksprutte med teknisk flair,Trives du med at arbejde selvstændigt Og bliver du motiveret af at formidle teknisk viden og drive tværgående indsamling og analyse af data,2024-04-05,Ringsted,https://www.jobindex.dk/vis-job/h1457699
h1457698,Ny medarbejder til vinduespolering,,2024-04-05,unknown,https://www.jobindex.dk/vis-job/h1457698
h1457697,Salgstrainee,Drømmer du om en karriere i bilbranchen Drives du af glæden og lysten til at rådgive kunder Vil du være en del af en spændende bilvirksomhed hvor kvaliteten af dit salgstalent og engagement er to altafgørende egenskaber ,2024-04-05,Højbjerg,https://www.jobindex.dk/vis-job/h1457697
h1457694,Senior Biochemical Engineer for Process Development and Engineering,We are now looking for a highly motivated Senior Biochemical Engineer to join our Process Development and Engineering Team at FMCs Pheromones Plant Health Division,2024-04-05,Hørsholm,https://www.jobindex.dk/vis-job/h1457694
h1457692,Underviser  Kemisk analyseteknik  Laborantuddannelsen  Roskilde,Vi søger en underviser til erhvervsakademiuddannelsen Laborant og til efteruddannelsesaktiviteter inden for laboratorieområdet i Roskilde,2024-04-05,unknown,https://www.jobindex.dk/vis-job/h1457692
h1457689,Undervisere  Kemisk analyseteknik  Laborantuddannelsen  Slagelse,Vi søger en underviser til erhvervsakademiuddannelsen Laborant og til efteruddannelsesaktiviteter inden for laboratorieområdet i Slagelse,2024-04-05,unknown,https://www.jobindex.dk/vis-job/h1457689
h1457683,Indkøber og indkøbsassistent,Vi har travlt og udvider derfor vores indkøbsafdeling,2024-04-05,København Ø,https://www.jobindex.dk/vis-job/h1457683
h1457682,Ejendomsmæglersælger,Dit primære arbejdsområde vil være kommission og salg af ejendomme i området Jobbet vil være alsidigt hvor ikke to dage er ens Opgaverne omfatter bla,2024-04-05,Haslev,https://www.jobindex.dk/vis-job/h1457682
h1457681,Forsyningshøjspændingsmontør,Vil du være med til at sikre fremtidens elnet i Danmark Og har du mod på at udforske og løse spændende opgaver inden for elinfrastruktur,2024-04-05,Brøndby,https://www.jobindex.dk/vis-job/h1457681
h1457680,Primærsygeplejerske til fast stilling,Trives du i et miljø hvor der er højt til loftet og hvor du har en stor grad af indflydelse på dit daglige arbejde ,2024-04-05,Vejen,https://www.jobindex.dk/vis-job/h1457680
h1457679,Payroll Specialist Nordic,Are you ready to embark on an exciting journey with Tip Group where fun meets unparalleled HR support,2024-04-05,Taastrup,https://www.jobindex.dk/vis-job/h1457679
h1457678,Forretningsarkitekt med faglig tyngde og fokus på bindingen mellem forretning og IT,Mener du også at ITløsninger skal udarbejdes i tæt samarbejde med forretningen Er dit speciale at være lige netop det bindeled der sikrer det Så er det dig vi søger til det helt nye Moms Domæne Arkitekturteam MDA der har ansvar for at vedligeholde den domænearkitektur som skatteforvaltningen har udarbejdet i forbindelse med en omfattende moderniseringsanalyse,2024-04-05,Frederiksberg,https://www.jobindex.dk/vis-job/h1457678
h1457674,MicroStation konsulent,Vi søger en MicroStation konsulent til vores team der leverer løsninger til ledningsregistrering til den danske forsyningsbranche,2024-04-05,Viby J,https://www.jobindex.dk/vis-job/h1457674
h1457673,Vægter du gæsteservice højt Læs mere her,Vi søger lige nu sæsonansatte sommerfugle der kan hjælpe vores nuværende Host og Hostess i sommerperioden fra maj til slut oktober 2024 Stillingen er en midlertidig stilling men med mulighed for forlængelse,2024-04-05,København,https://www.jobindex.dk/vis-job/h1457673
h1457672,Sygeplejerske til 2030 timers stilling i Almen Praksis på Vesterbro,Vil du arbejde i en praksis der har eksisteret i mere end 45 år En udtalt familielægepraksis med et patientklientel som favner mange børnefamilier men også mange ældre og kronikere,2024-04-05,København V,https://www.jobindex.dk/vis-job/h1457672
h1457670,Student Worker for Data Systems  Technologies Group DST,We are looking for a Student Worker to work 10 hours per week at the Data Systems and Technologies group DST at the ESS Data Management and Software Center,2024-04-05,Kongens Lyngby,https://www.jobindex.dk/vis-job/h1457670
h1457668,Engagerede medarbejdere til alsidigt kommunikationskontor,Kan du understøtte kommunikationen om Skattestyrelsen som arbejdsplads levende og ligefremt til vores medarbejdere og potentielle medarbejdere,2024-04-05,København S,https://www.jobindex.dk/vis-job/h1457668
h1457667,Elev søges til Dagrofa Foodservice i Odense,Hvad vil du gerne arbejde med i fremtiden Vælg en super spændende uddannelse i Dagrofa Foodservice der giver dig mange karriere og udviklingsmuligheder ,2024-04-05,Odense SØ,https://www.jobindex.dk/vis-job/h1457667
h1457664,Kom og bliv en del af vores stærke skadedyrsteam,Vil du være en del af at et stærkt skadedyrsteam hvor vi sammen har fokus på at levere førsteklasses service og support til vores kunder,2024-04-05,unknown,https://www.jobindex.dk/vis-job/h1457664
h1457662,Studentermedhjælper Power BIStudent Assistant  Power BI,Har du lyst til at blive en del af en international organisation hvor du sammen med resten af Business Finance teamet skal videreudvikle vores Business Intelligence platform og Power BI,2024-04-05,Middelfart,https://www.jobindex.dk/vis-job/h1457662
h1457661,Engagerede social eller sundhedsfaglige medarbejdere søges til HabitusHuset Hesselager,Drømmer du om at blive del af en arbejdsplads hvor samarbejde ordentlighed og gensidig respekt er nøgleord Og brænder du for at gøre en forskel for mennesker med særlige behov Så er HabitusHuset Hesselager måske stedet for dig,2024-04-05,unknown,https://www.jobindex.dk/vis-job/h1457661
h1457660,Software Developer  Delphi  C,Kunne du tænke dig at udvikle den nyeste teknologi på markedet og sætte dit præg på udviklingen af nye produkter Så er du oplagt til at blive en del af familien hos PCSCHEMATIC ,2024-04-05,Roskilde,https://www.jobindex.dk/vis-job/h1457660
h1457656,Regnskabsansvarlig,Vil du være en del af et fagligt stærkt team Mestrer du at sikre den rette faglige substans samtidig med en hensyntagen til operationel udvikling optimering og fremdrift,2024-04-05,Vallensbæk Strand,https://www.jobindex.dk/vis-job/h1457656
h1457654,Maskinoperatør  nathold,Kunne du tænke dig en 4dages arbejdsuge med superdygtige og søde kollegaer,2024-04-05,Bogense,https://www.jobindex.dk/vis-job/h1457654
h1457653,SOF Rigger,Som rigger bliver du en del af et fast hold på et 12timers skift 5holdsvagtplan hvor du arbejder med at rigge pakke og udskibe vores rør,2024-04-05,Kalundborg,https://www.jobindex.dk/vis-job/h1457653
h1457652,Område Ribe Børnegården Gredstedbro søger en pædagog,Brænder du for livet i en børnehave Tør du være nysgerrig og eksperimenterende sammen med børnene og dine kolleger Vil du være en del af vores personalegruppe som i øjeblikket har fokus på Marte Meo i hverdagen,2024-04-05,Gredstedbro,https://www.jobindex.dk/vis-job/h1457652
h1457651,Dygtig bogholder,Solid økonomisk værktøjskasse nysgerrig med en positiv og løsningsorienteret adfærd  kan du nikke genkendende til disse kompetencer og motiveres du samtidig af ansvar og alsidige opgaver er du muligvis den vi leder efter,2024-04-05,unknown,https://www.jobindex.dk/vis-job/h1457651
h1457649,Geolog eller ingeniør til Center for Undergrund,,2024-04-05,København V,https://www.jobindex.dk/vis-job/h1457649
h1457648,Facility  Utility Engineer med fokus på løbende forbedringer,Brænder du for at sikre den daglige drift og vedligeholdelse inden for facility  utility Trives du med at koordinere og dagligt være i kontakt med eksterne håndværkere Kan du lide at planlægge koordinere og strukturere vedligehold af tekniske installationer og bygninger,2024-04-05,Horsens,https://www.jobindex.dk/vis-job/h1457648
h1457645,Ergoterapeut til Esbjerg Døgnrehabilitering i vikariat,Brænder du for at være med til at sikre borgerne i Esbjerg Kommune et stærkt og nært sundhedsvæsen  og vil du være med til at skabe koordinerede og sammenhængende forløb til gavn for borgerne og det samlede sundhedsvæsen Så se med her,2024-04-05,Esbjerg,https://www.jobindex.dk/vis-job/h1457645
h1457644,Vuggestue med masser af nærvær faglighed og sangglæde søger en pædagog,Vi søger en pædagog til Børnebakken øst  vuggestuen Stillingen er på 35 timer ugentlig med start 29 april 2024 eller hurtigst muligt derefter Barselsvikariatet vil være fra 29 april 2024 frem til 31 marts 2025,2024-04-05,Esbjerg V,https://www.jobindex.dk/vis-job/h1457644
h1457643,Vi opprioriterer den sygeplejefaglige indsats på Esbjerg Døgnrehabilitering og søger derfor endnu en sygeplejerske til vores fantastiske hold,Vi oplever en øget kompleksitet i de opgaver vi skal løse og søger derfor dig der brænder for at udnytte dine sygeplejefaglige kompetencer i en tværfaglig kontekst,2024-04-05,Esbjerg,https://www.jobindex.dk/vis-job/h1457643
h1457641,Experienced Mechanical Engineer,Are you a Mechanical Engineer passionate about working with the latest technology in a position where you play an important role in the design of challenging offshore projects,2024-04-05,Brøndby,https://www.jobindex.dk/vis-job/h1457641
h1457640,Nattevagt til bo og samværstilbuddet Rønnegård,Vi søger en vågen nattevagt på fuld tid til vores botilbud på Rønnegård i Gørløse Stedet består af mindre boenheder og der er i alt 5 vågne og 4 sovende nattevagter på arbejde ad gangen Stillingen er til besættelse hurtigst muligt,2024-04-05,Gørløse,https://www.jobindex.dk/vis-job/h1457640
h1457639,Senior projektledere til bygge og renoveringsopgaver på Region Hovedstadens hospitaler,Er du erfaren projektleder og har lyst til at bidrage med at sikre de fysiske rammer på Region Hovedstadens hospitaler til gavn for både patienter pårørende og personale,2024-04-05,Herlev,https://www.jobindex.dk/vis-job/h1457639
h1457637,Plejecenterleder med souscheffunktion  til centerchefen,Spændende stilling for dig der både har kompetencer og lyst til at bruge din faglighed inden for ledelse styring og udvikling i primærområdet i en unik og fremsynet senior og ældreorganisation Lions Park Søllerød,2024-04-05,Nærum,https://www.jobindex.dk/vis-job/h1457637
h1457636,Uddannelses og Forskningsstyrelsen i Svendborg søger dygtig studerende til projektorienteret forløb eller praktik,Er du studerende og skal du i projektorienteret forløb eller praktik på dit næste semester,2024-04-05,Svendborg,https://www.jobindex.dk/vis-job/h1457636
h1457635,Senior Frontend Engineer,Would you like to develop responsive adaptive and scalable digital solutions that will capture the imagination and deliver immersive experiences,2024-04-05,Copenhagen,https://www.jobindex.dk/vis-job/h1457635
h1457634,Global Program Development Manager,Do you have excellent project leadership skills Are you looking for a position where your project management capacity will come to full exposure in strategic important product programs,2024-04-05,Bjerringbro,https://www.jobindex.dk/vis-job/h1457634
h1457633,Driftsleder til VVSvirksomhed,Med direkte reference til firmaets direktør vil du få ansvar for den daglige drift i tæt samarbejde med firmaets funktionærer samt resten af organisationen og eksterne samarbejdspartnere Du bliver en del af et dedikeret team med dygtige kolleger del af ledelsen og herigennem samarbejde med vores bestyrelse,2024-04-05,unknown,https://www.jobindex.dk/vis-job/h1457633
h1457631,Uddannelses og Forskningsstyrelsen i Odense søger dygtige studerende til projektorienteret forløb eller praktik,Er du studerende og skal du i projektorienteret forløb eller praktik på dit næste semester,2024-04-05,Odense C,https://www.jobindex.dk/vis-job/h1457631
h1457630,Projektedere til Anlægsafdelingen i Nuuk og Sisimiut,Vi søger dygtige og engagerede projektledere som vil være med til at udvikle Grønlands bygge og anlægssektors rolle og udvikle den offentlige anlægssektor herhjemme,2024-04-05,Nuuk eller Sisimiut,https://www.jobindex.dk/vis-job/h1457630
h1457628,Administrativ medarbejder til Retssagsenheden i Ankestyrelsens arbejdsskadekontor,Retssagsenheden fører de retssager hvor Ankestyrelsen er blevet stævnet omkring vores afgørelser om arbejdsskader ,2024-04-05,København SV,https://www.jobindex.dk/vis-job/h1457628
h1457627,Medarbejder til salg og markedsføring af byggegrunde søges  barselsvikariat,Vi har brug for din hjælp til at fastholde fokus på salget af de kommunale byggegrunde samt at støtte kommende købere i at realisere deres boligdrømme Dette arbejde bidrager blandt andet til at tiltrække flere borgere til Vejen Kommune,2024-04-05,Vejen,https://www.jobindex.dk/vis-job/h1457627
h1457626,Socialrådgiver til Børn Unge og Familier,Vi er i fuld gang med implementering af Barnets Lov som vores dygtige juridiske konsulenter står i spidsen for ligesom afdelingen står på tærsklen til at afprøve en spændende model hvor dine opgaver som medarbejder i en myndighedsafdeling sammensættes på en ny måde,2024-04-05,Store Heddinge,https://www.jobindex.dk/vis-job/h1457626
h1457624,Det Blå Værested i Arden søger værestedsmedarbejder,Det Blå Værested i Arden søger en medarbejder til en fast stilling på 24 timer ugentligt Du skal have uddannelse erfaring og interesse for mennesker i udsatte positioner og kunne mestre en kombineret stilling som indeholder både en køkkenfaglig og socialfaglig rolle ,2024-04-05,Arden,https://www.jobindex.dk/vis-job/h1457624
h1457623,ProduktionsteknikerLaborant  Maskiner til vandbehandling,Brænder du for produktionsteknik og laboratoriearbejde og har du lyst til at være med til producere en ny miljørigtig generation af vandrensningsteknologi så har denne veletablerede opstartsvirksomhed med globale ambitioner jobbet til dig,2024-04-05,Søborg,https://www.jobindex.dk/vis-job/h1457623
h1457618,Konsulent til kommunikation og administration,Vi tilbyder en meningsfuld og alsidig stilling til dig der kan se en historie formidle fængende og har de kommunikative kompetencer til at skrive skarpe tekster i alle formater og til alle platforme,2024-04-05,København,https://www.jobindex.dk/vis-job/h1457618
h1457591,Medarbejder til Rødkælken Kollegium,Rødkælken Kollegium er et anerkendt forsorgshjem i henhold til SEL 110 Vi er dedikerede i forhold til at tilbyde et helhedsorienteret rusmiddelfrit og midlertidigt botilbud til voksne borgere over 18 år der enten er hjemløse eller ikke kanformår at opretholde en fast bopæl funktionel hjemløshed Vores tilbud er åbent for både kvinder og mænd,2024-04-05,Taastrup,https://www.jobindex.dk/vis-job/h1457591
h1457586,Tømrersnedker,Har du en bred erfaring inden for tømrer eller snedkerfaget Kan du levere et grundigt stykke håndværk som du kan stå indenfor,2024-04-05,Glostrup,https://www.jobindex.dk/vis-job/h1457586
h1457585,Dygtig projektleder med interesse for foreningslivet,Vil du være med til at ændre den danske alkoholkultur og sikre at færre danskere får skader af deres alkoholindtag,2024-04-05,Valby,https://www.jobindex.dk/vis-job/h1457585
h1457542,Ambitiøse psykologer søges til Pia Callesens klinikker,Du er uddannet psykolog candpsych du er autoriseret aut og du vil gerne arbejde klinisk og hjælpe dine klienter med at få et nyt syn på de grublerier ogeller bekymringer som er de drivende kræfter i de fleste psykiske problemer,2024-04-05,"Næstved, Aarhus C, København K",https://www.jobindex.dk/vis-job/h1457542
h1457525,Ejendomsfunktionær,Vi kommer til at mangle 2 ejendomsfunktionærer til vores afdelinger i Esbjerg Tiltrædelse pr 1 maj 2024 og stillingen er en fuldtidsstilling,2024-04-05,Esbjerg,https://www.jobindex.dk/vis-job/h1457525
h1457523,Intern MaterielkonsulentUdlejer,Vi søger en engageret MaterielkonsulentUdlejer til at jonglere med udlejningsmateriel primært til bygge og anlægsbranchen Du vil være ansvarlig for alt fra tilbud til fakturering kundeoprettelse og vedligeholdelse af materiel,2024-04-05,Rødby,https://www.jobindex.dk/vis-job/h1457523
h1457513,Vi søger en dygtig kedelpasser til skiftehold  til international spånpladeproduktion 247,Motiveres du af at arbejde med drift af store kedelanlæg i et stærkt team og dermed yde et væsentligt bidrag til at Kronospan ApS  Novopan Træindustri holdes kørende 247,2024-04-05,Ryomgård,https://www.jobindex.dk/vis-job/h1457513
h1457366,Kreativ grafikerDTPer med sans for detaljer,Dreyer Kliche søger endnu en grafisk medarbejder Du bliver sammen med dine nærmeste kollegaer bindeleddet mellem vores kunder trykkerier den interne produktion samt vores sælgere og europæiske agenter,2024-04-05,Herlev,https://www.jobindex.dk/vis-job/h1457366
h1457360,Salgskonsulent,Trives du med en udadvendt rolle og er du god til at kommunikere det komplekse så det bliver forståeligt og interessant,2024-04-05,unknown,https://www.jobindex.dk/vis-job/h1457360
h1457340,To sektionschefer til sektionen Sikkerhedsledelse,Vil du være med til at opbygge og udvikle Banedanmarks leverancer af jernbanesikkerhedsmæssige ydelser,2024-04-05,Fredericia eller København V,https://www.jobindex.dk/vis-job/h1457340
h1457287,Hvidvaskmedarbejder til AML Transaktioner og Sanktioner,I vores AMLområde er vi ansvarlige for bankens indsats indenfor bekæmpelse af hvidvask og økonomisk kriminalitet,2024-04-05,Aalborg,https://www.jobindex.dk/vis-job/h1457287
h1457195,Lastbilsættevognsmekaniker,Til vores værksted i Padborg søger vi en erfaren mekaniker til vedligehold og reparation af vores trækkere og sættevogne,2024-04-05,Padborg,https://www.jobindex.dk/vis-job/h1457195
h1457191,Lastbilchauffør søges til tipkørsel,Vi søger chauffører til tipkørsel i Danmark Start medio april 2024 Det er vigtigt at du kan arbejde selvstændigt,2024-04-05,unknown,https://www.jobindex.dk/vis-job/h1457191
h1457149,Bedemand med sort bælte i kundeservice,Vi søger en dygtig bedemand til koordinering der er dedikeret til at yde kundeservice i verdensklasse Du bliver en del af et ambitiøst team hvor dine primære opgaver inkluderer,2024-04-05,Charlottenlund,https://www.jobindex.dk/vis-job/h1457149
h1457015,Træningsterapeutelever,Kan du se dig selv i en 3årig lønnet elevuddannelse med sikret fastansættelse,2024-04-05,Karlslunde og Rødovre,https://www.jobindex.dk/vis-job/h1457015
h1456930,Mekaniker eller personvognsmontør søges hurtigst muligt,Hos os får du mulighed for at lave stort set alt,2024-04-05,Aalborg SV,https://www.jobindex.dk/vis-job/h1456930
h1456801,Vi søger intern salgsrådgiver til Team Fyn,Til vores salgsafdeling på Langeland eller Horsens søger vi en dygtig intern salgsrådgiver Du vil indgå i et team af meget kompetente kolleger og i en dynamisk hverdag udarbejde tilbud til det professionelle marked Vore primære kunder er De Danske Byggecentretømmerhandler og byggemarkeder  fordelt over hele landet,2024-04-05,Rudkøbing eller Horsens,https://www.jobindex.dk/vis-job/h1456801
h1456453,Finance Manager,Efter flere år med vækst søger vi nu en proaktiv kollega som kan være med til at professionalisere økonomiafdelingen,2024-04-05,København K,https://www.jobindex.dk/vis-job/h1456453
h1454672,Medarbejder med et stærkt virksomhedsnetværk og erfaring med unge på kanten,Ønsker du et job hvor du hver dag kan være med til at skabe vedvarende og positiv forandring for unge med en plet på straffeattesten,2024-04-05,Rødovre,https://www.jobindex.dk/vis-job/h1454672
h1454557,Parkeringsvagt København Nat  36 timer,Nyder du frisk luft og jagter du samtidig et aktivt job for en sundere hverdag,2024-04-05,unknown,https://www.jobindex.dk/vis-job/h1454557
h1454553,Parkeringsvagt København  36 timer,Hos QPark har vi travlt og vi søger derfor effektive parkeringsvagter til holdet i København og omegn Du vil få et job med masser af frihed under ansvar og blive omfattet af en af de førende lønpakker inden for parkeringsområdet i Danmark,2024-04-05,unknown,https://www.jobindex.dk/vis-job/h1454553
h1454089,Administrativ uddannelsesvejleder,Du vil skulle stå for uddannelsesmæssig og personlig vejledning til de grønlandske studerende på Sjælland og i udlandet,2024-04-05,unknown,https://www.jobindex.dk/vis-job/h1454089
