Title,Description,Published Date,Location,URL
IT-supporter – skal du kickstarte din karriere hos os?,"Er du nyuddannet eller på sidste semester af din IT-uddannelse? Leder du efter et spændende fuldtids- eller studiejob, hvor du kan prøve kræfter af med en masse forskellige områder inden for IT?",2024-04-09,Greve,https://www.jobindex.dk/vis-job/h1458841
Styrelsen for Undervisning og Kvalitet søger læringskonsulent til faget og valgfaget madkundskab i Center for Udgående Kvalitetsarbejde,"Har du en stærk faglig, didaktisk og pædagogisk profil inden for madkundskab, og arbejder du vidensbaseret? I stillingen som læringskonsulent til madkundskab vil du bl.a. komme til at:",2024-04-09,Holbæk,https://www.jobindex.dk/vis-job/h1458835
Lærer søges til specialklasserne i Ølsted,"Brænder du for at undervise og arbejde specialpædagogisk på samme tid? Har du arbejdet med elever med autisme, ADHD, kravafvisende og til tider udadreagerende adfærd?",2024-04-09,Broby,https://www.jobindex.dk/vis-job/h1458834
"Administrativ medarbejder med flair for økonomi til Voksen, Familie og Forebyggelse","Elsker du tal og kan du holde orden i kolonnerne? Vil du hjælpe med at holde styr på økonomien på det specialiserede voksen- og børneområde, så har vi et job til dig. ",2024-04-09,Vallensbæk Strand,https://www.jobindex.dk/vis-job/h1458828
Byggeleder søges til spændende projekter,Vi søger en dygtig og erfaren byggeleder til at slutte sig til vores team.,2024-04-09,Aalborg SV,https://www.jobindex.dk/vis-job/h1458827
Salgskonsulent,Du får sammen med dine holdkammerater i Sale & Retention en vigtig opgave i at sælge både strømaftaler og ladebokse til vores privatkunder samt med gode dialoger fastholde vores eksisterende kunder.,2024-04-09,Horsens,https://www.jobindex.dk/vis-job/h1458824
Kan du sælge nye og brugte biler? Stort bilhus i Esbjerg søger salgskonsulent,"Hos Bjarne Nielsen brænder vi for at gøre en forskel. Vi forsøger at tænke nyt og udvikle os, så vi i fællesskab kan videreudvikle en af Danmarks mest moderne bilkoncerner.",2024-04-09,Esbjerg Ø,https://www.jobindex.dk/vis-job/h1458820
"KAB søger medarbejder med stort servicegen til kundehenvendelser på telefon, personlig betjening og til besvarelse af mails","Får du energi af at give kunderne en udsøgt og professionel service? Og bliver du motiveret af en hverdag, hvor du har travlt, og hvor du løfter i flok med dine kolleger i teamet? Så er du måske vores nye kollega.",2024-04-09,København SV,https://www.jobindex.dk/vis-job/h1458817
Rejselysten servicemontør,"Drømmer du om at have hele verden som din arbejdsplads? Har du stor teknisk indsigt og forståelse – og brænder du for det maritime, hvor håndværksmæssige kvaliteter er i højsæde?",2024-04-09,Hadsund,https://www.jobindex.dk/vis-job/h1458816
CRM Lead,"Did you know around 90% of globally traded goods are carried over the waves, contributing to around 3% of the world’s greenhouse gas emissions?",2024-04-09,Farum,https://www.jobindex.dk/vis-job/h1458813
Sagsbehandler til hjælpemiddelområdet i Høje-Taastrup Kommune - Barselsvikariat fra 01.06.2024-30.05.2025,"Du bliver en del af en alsidig arbejdsplads med et godt arbejdsklima, høj faglighed og plads til humor. I centret er vi kendt for et godt tværgående samarbejde, der prioriteres højt og løbende udvikles. ",2024-04-09,Taastrup,https://www.jobindex.dk/vis-job/h1458809
"Administrativ medarbejder til Voksen, Familie og Forebyggelse","Vi søger en administrativ medarbejder, som trives med mangeartede opgaver i en tværfaglig afdeling. Trives du i et job med tempo og flow, så er du den helt rigtige kollega for os.",2024-04-09,Vallensbæk Strand,https://www.jobindex.dk/vis-job/h1458807
Vil du lære at sælge biler? Bliv salgstrainee hos Bjarne Nielsen i Esbjerg,"Hos Bjarne Nielsen brænder vi for at gøre en forskel. Vi forsøger at tænke nyt og udvikle os, så vi i fællesskab kan skabe Danmarks mest moderne bilkoncern.",2024-04-09,Esbjerg Ø,https://www.jobindex.dk/vis-job/h1458806
Tandlæge søges til Stevns Kommunale Tandpleje,"Dygtig og engageret tandlæge søges til en fast stilling på fuld tid. Deltid er også en mulighed, hvis dette har interesse. Stillingen er til besættelse fra den 1. maj 2024 eller tidligst herefter. Vi er fleksible med hensyn til arbejdstider.",2024-04-09,Store Heddinge,https://www.jobindex.dk/vis-job/h1458804
Kan du sælge Transit og Master? Stort bilhus søger erhvervskonsulent,"Hos Bjarne Nielsen brænder vi for at gøre en forskel. Vi forsøger at tænke nyt og udvikle os, så vi i fællesskab kan videreudvikle en af Danmarks mest moderne bilkoncerner.",2024-04-09,Esbjerg Ø,https://www.jobindex.dk/vis-job/h1458802
Vi søger en underviser til at uddanne specialister inden for data og IT,"På ZBC tror vi på, at kompetente medarbejdere og godt teamwork er fundamentet for at skabe den bedste uddannelse for vores elever på Data- og kommunikationsuddannelsen i Ringsted.",2024-04-09,Ringsted,https://www.jobindex.dk/vis-job/h1458798
Software Engineer,"The Software Engineer will be part of the Experiment Control and Data Curation (ECDC) group at DMSC. The small but growing ECDC team aims to produce the right tools for scientists to carry out cutting edge research, using all of the capabilities of our next generation neutron facility. ",2024-04-09,Kongens Lyngby,https://www.jobindex.dk/vis-job/h1458797
Architecture & Technology Team Lead at the heart of the Nordic Green Transformation,"Are you eager to make a difference in the Green Transformation in the Nordics and in Europe, working towards a fully carbon neutral, sustainable energy system? Do you enjoy working in a diverse and international team balancing many stakeholders? Are you structured and organized? Then you may be just the person we are looking for.",2024-04-09,København S,https://www.jobindex.dk/vis-job/h1458796
Lønningsbogholder,"Du vil kunne anvende din viden og dine erfaringer til at understøtte en effektiv lønproces der sikrer, at den korrekte løn udbetales til den aftalte tid. Du får mulighed for selvstændigt og i et samarbejde med dine fire kolleger i Payroll at løse opgaver med afsæt i en god og opsøgende dialog med dine ""kunder"" i projektafdelingerne og offshore.",2024-04-09,Middelfart,https://www.jobindex.dk/vis-job/h1458793
Montør/mekaniker,Vi søger en udekørende montør/mekaniker til entreprenørmaskiner med udgangspunkt fra vores afdeling i Viborg. ,2024-04-09,Viborg,https://www.jobindex.dk/vis-job/h1458792
Entreprise-/projektleder til spændende bro- og betonopgaver i forbindelse med udbygningen af den danske infrastruktur,"Du vil få direkte indflydelse på anlægsprojekter, der vil udfordre din ekspertise og faglige kunnen. Til gengæld tilbyder vi en organisation med et godt ry i branchen, og hvor du kan arbejde under frie rammer med alsidige anlægsprojekter på tværs af hele landet.",2024-04-09,Kolding,https://www.jobindex.dk/vis-job/h1458791
Projekt- og forskningskonsulent til Erhvervsakademi Dania - Viden og Læring,Skal du være med til at understøtte udviklingen af vores uddannelser?,2024-04-09,Randers,https://www.jobindex.dk/vis-job/h1458789
Lead the future of IT development,Are you a seasoned IT developer with flair for translating business requirements into technical solutions? Are you passionate about driving architectural decisions and spearheading digital innovation?,2024-04-09,Glostrup,https://www.jobindex.dk/vis-job/h1458788
Produktionskoordinator til Danmarks førende producent af præfabrikerede træelementer,Som vores nye produktionskoordinator får du en central rolle som nøglespiller i produktionsteamet og bliver afgørende for at opretholde en smidig drift. ,2024-04-09,Sindal,https://www.jobindex.dk/vis-job/h1458787
Internal Sales Manager,"Som Stahlwilles nye Internal Sales Manager vil du få mulighed for at lede og udvikle det interne salgsteam på i alt 4 medarbejdere. Du vil være ansvarlig for at udarbejde og implementere procesbeskrivelser og forretningsgange, som følger af den vækst, man har oplevet, og som baseres på den fortsatte udvidelse af det nordiske setup. Du vil desuden være i førersædet for at implementere en mere digital intern adfærd, hvor blandt andet yderligere automatisering af Business Central (ERP) og forretningsgange er på dagsordenen.",2024-04-09,Ishøj,https://www.jobindex.dk/vis-job/h1458783
Undervisere søges til faste stillinger og årsvikariater på  Det Blå Gymnasium - indenfor HHX-fagrækken,Fra 1. august 2024 har vi såvel faste stillinger som årsvikariater og timerester til et antal undervisere med undervisningskompetence til HHX.,2024-04-09,Varde,https://www.jobindex.dk/vis-job/h1458781
Junior System Engineer,Do you want to kick-start your career in system engineering in a company that develops systems to help keep people and society safe?,2024-04-09,Sønderborg,https://www.jobindex.dk/vis-job/h1458780
Mandecentret Sjælland søger nu en 37 timer socialpædagog med erfaring fra §110/§109,"Vil du være med til at påvirke og udvikle arbejdet med §110/ § 109a, for mænd og børn? ",2024-04-09,Slagelse,https://www.jobindex.dk/vis-job/h1458779
Administrativ medarbejder til toldafdelingen i Køge,"Vi er en dynamisk virksomhed i vækst, og da det for tiden går stærkt, søger vi en ny kollega, der har lyst til at arbejde i et internationalt miljø med mange forskelligartede opgaver indenfor administration og toldbehandling.",2024-04-09,unknown,https://www.jobindex.dk/vis-job/h1458778
Serviceteknikere på Sjælland,Brænder du for at udføre tekniske serviceopgaver? Og vil du være med til at yde en fantastisk service til vores danske marked?,2024-04-09,unknown,https://www.jobindex.dk/vis-job/h1458776
Vil du være med til at uddanne fremtidens grønne og blå maskinmestre i Lyngby?,Maskinmesterskolen København (MSK) søger en adjunkt eller lektor til undervisning i ledelsessystemer.,2024-04-09,Kgs. Lyngby,https://www.jobindex.dk/vis-job/h1458774
Sygeplejerske/Sosu-assistent til lægepraksis i Søborg,Vi søger en engageret sygeplejerske eller sosu-assistent til en 20-25 timers stilling med tiltrædelse 1.juni.,2024-04-09,unknown,https://www.jobindex.dk/vis-job/h1458773
Crew til nyt madkoncept i hjertet af København - deltid og ungarbejdere,"Har du lyst til at være en del af et nyt, cool madkoncept? En ”restaurant”, som kombinerer høj kvalitet, lækre asiatiske smage og dansk design? Og vil du have en helt ny hverdag sammen med andre unge, hvor I kan bygge kultur og team op fra bunden?",2024-04-09,København K,https://www.jobindex.dk/vis-job/h1458771
Store Manager i Lyngby BOLIA,"Drevet af at skabe en udviklende medarbejderkultur, stærke resultater samt en særlig kundeoplevelse, leder vi nu efter en Store Manager til vores smukke konceptbutik i Lyngby. ",2024-04-09,Kgs. Lyngby,https://www.jobindex.dk/vis-job/h1458770
Værkstedstekniker,Vil du være en del af den grønne omstilling?,2024-04-09,Middelfart,https://www.jobindex.dk/vis-job/h1458768
Lagermedarbejder til Brødrene Dahl Ventilcenter,"Vil du være med til at give vores kunder den bedste service? Som lagermedarbejder hos Danmarks største VVS- og VA-grossist, kommer du til at arbejde i et miljø hvor service, samarbejde og medarbejdertilfredshed er i top.",2024-04-09,Herning,https://www.jobindex.dk/vis-job/h1458765
Incitaskolens stu på Center for Autisme søger en underviser (lærer eller pædagog),"Vi underviser de unge respektfuldt, kærligt og ambitiøst med fokus på, at de bliver selvstændige medborgere og får en realistisk tilknytning til uddannelse & job.",2024-04-09,Herlev,https://www.jobindex.dk/vis-job/h1458762
Personlig assistent og administrativ support til NCC Infrastruktur DK i Søborg,"Vil du være en del af en virksomhed, hvor du får et godt job med gode, erfarne kolleger og et godt arbejdsmiljø?",2024-04-09,Søborg,https://www.jobindex.dk/vis-job/h1458759
Produktionsmedarbejder til vores mølle i Svendborg søges til weekendarbejde,"Vi søger en mødestabil og ansvarsbevidst medarbejder, der skal indgå i driften sammen med vores nuværende personale.",2024-04-09,Svendborg,https://www.jobindex.dk/vis-job/h1458757
